File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./ex1.v;Shuffle;;;37;8;apply;H'0;46;Hexadecimal.D3;Hexadecimal.D1;Hexadecimal.Df;Hexadecimal.internal_hexadecimal_dec_lb;Hexadecimal.del_tail_int;Hexadecimal.Da;Hexadecimal.Dc;Hexadecimal.revapp;Hexadecimal.internal_signed_int_dec_lb0;Hexadecimal.uint_beq
./ex1.v;Shuffle;;;37;9;apply;H'0;2;H';H'1;H'0;;;;;;;
./ex1.v;Shuffle;;;37;10;apply;H'0;0;H'0;;;;;;;;;
./ex1.v;Shuffle;;;46;7;apply;H';511;Decimal.D4;Byte.x80;Decimal.D3;eq_existT_curried_congr;option_sind;Byte.x6d;Byte.x71;length;right;Number.uint_eq_dec
./ex1.v;Shuffle;;;46;8;apply;H';33;Hexadecimal.uint_rec;Hexadecimal.Nil;Hexadecimal.uint_beq;Hexadecimal.rev;Hexadecimal.Df;Hexadecimal.uint_ind;Hexadecimal.D0;Hexadecimal.hexadecimal;Hexadecimal.uint_eq_dec;H'0
./ex1.v;Shuffle;;;46;9;apply;H';0;H';H'0;H'1;H'2;;;;;;
./ex1.v;Shuffle;;;47;7;apply;H'0;228;Byte.x32;eq_stepl;prod_curry_subdef;eq_ex2_rect;Decimal.decimal_beq;Byte.xe1;and_rec;Byte.x6f;Byte.x39;or_introl
./ex1.v;Shuffle;;;47;8;apply;H'0;11;Hexadecimal.uint;Hexadecimal.del_tail_int;Hexadecimal.Df;Hexadecimal.D7;Hexadecimal.nztail_int;Hexadecimal.nztail;Hexadecimal.opp;H';Hexadecimal.Dc;Hexadecimal.uint_rec
./ex1.v;Shuffle;;;47;9;apply;H'0;1;H';H'0;H'2;H'1;;;;;;
./ex1.v;Shuffle;;;47;10;apply;H'0;0;H'0;;;;;;;;;
./ex1.v;Shuffle;;;54;7;apply;H'0;913;Byte.x10;Byte.xda;Nat.of_hex_int;Byte.x2c;Byte.xd8;Nat.to_num_int;ex2_of_sig2;Byte.xfa;eq_rec_r;Number.Decimal
./ex1.v;Shuffle;;;54;8;apply;H'0;50;H';Hexadecimal.Little.succ;Hexadecimal.D6;Hexadecimal.uint_beq;Hexadecimal.nzhead;Hexadecimal.Df;Hexadecimal.signed_int_eq_dec;Hexadecimal.nb_digits;Hexadecimal.De;Hexadecimal.uint_rect
./ex1.v;Shuffle;;;54;9;apply;H'0;1;H';H'0;;;;;;;;
./ex1.v;Shuffle;;;54;10;apply;H'0;0;H'0;;;;;;;;;
./ex1.v;Shuffle;;;71;7;apply;H';752;unit_sind;Byte.x73;Byte.x6a;sumbool;Acc_intro;eq_sigT2_hprop_iff;false;Byte.x37;ex_of_sig;Byte.x66
./ex1.v;Shuffle;;;71;8;apply;H';48;Hexadecimal.revapp;Hexadecimal.Little.double;Hexadecimal.D8;Hexadecimal.D7;Hexadecimal.D3;Hexadecimal.del_head_int;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.abs;Hexadecimal.signed_int_beq
./ex1.v;Shuffle;;;71;9;apply;H';0;H';H'0;;;;;;;;
./ex1.v;Shuffle;;;73;7;apply;H'0;4;eq_S;Number.internal_uint_dec_lb1;Byte.x1b;eq_rect;H'0;proj2_sig_eq;Acc_intro_generator;Number.Hexadecimal;sumbool;Acc_rect
./ex1.v;Shuffle;;;73;8;apply;H'0;0;H'0;Hexadecimal.signed_int_eq_dec;Hexadecimal.Db;Hexadecimal.signed_int;Hexadecimal.D4;Hexadecimal.hexadecimal_beq;Hexadecimal.uint_sind;Hexadecimal.signed_int_beq;Hexadecimal.uint_rec;Hexadecimal.Dc
./ex1.v;Shuffle;;;73;9;apply;H'0;1;H';H'0;;;;;;;;
./ex1.v;Shuffle;;;73;10;apply;H'0;0;H'0;;;;;;;;;
